id_transacao;data_transacao;cpf_aluno;nome_aluno;plano_adquirido;cep_cobranca;valor_brl
TX-50025;2024-06-10;388.182.730-78;Aluno_Tech_2393;Premium;;99,90
TX-50026;05/02/2024;928.455.259-15;Aluno_Tech_1561;Básico;30140071;49,90
TX-50027;28/09/2024;330.677.306-90;Aluno_Tech_2513;Básico;50010000;49,90
TX-50028;09/11/2024;926.407.030-30;Aluno_Tech_2531;Básico;04538133;49,90
TX-50029;28/07/2024;250.714.611-70;Aluno_Tech_285;;01001000;99,90
TX-50030;2024-07-10;431.832.812-01;Aluno_Tech_1895;Premium;30140071;99,90
TX-50031;01/09/2024;356.465.193-49;Aluno_Tech_278;Básico;20031050;49,90
TX-50032;2024-06-22;736.820.506-80;Aluno_Tech_1856;Básico;70040010;49,90
TX-50033;2024-01-01;659.202.461-54;Aluno_Tech_1706;Básico;04538133;49,90
TX-50034;2024-10-13;347.143.455-08;Aluno_Tech_56;Premium;69010000;99,90
TX-50035;2024-04-29;94565346931;Aluno_Tech_1609;Básico;30140071;49,90
TX-50036;2024-06-24;299.629.145-07;Aluno_Tech_617;Básico;70040010;49,90
TX-50037;2024-04-11;265.960.893-80;Aluno_Tech_1111;Básico;60060440;49,90
TX-50038;2024-06-19;17294763844;Aluno_Tech_2448;Básico;50010000;49,90
TX-50039;20/02/2024;054.683.565-11;Aluno_Tech_1092;;30140071;99,90
TX-50040;23/11/2024;39979849134;Aluno_Tech_2631;Básico;70040010;49,90
TX-50041;2024-11-30;596.969.155-00;Aluno_Tech_292;Anual;60060440;899,00
TX-50042;21/07/2024;630.489.138-58;Aluno_Tech_871;Básico;69010000;49,90
TX-50043;24/06/2024;676.184.723-00;Aluno_Tech_410;Básico;90010150;49,90
TX-50044;2024-07-04;325.012.495-85;Aluno_Tech_741;Básico;30140071;49,90
TX-50045;23/03/2024;177.682.938-78;Aluno_Tech_1817;Básico;80010010;49,90
TX-50046;04/07/2024;805.292.407-34;Aluno_Tech_925;Básico;69010000;49,90
TX-50047;24/12/2024;333.247.073-66;Aluno_Tech_1766;Premium;90010150;99,90
TX-50048;09/11/2024;424.912.896-28;Aluno_Tech_1304;Premium;80010010;99,90
TX-50049;18/06/2024;249.163.009-55;Aluno_Tech_541;Básico;30140071;49,90
TX-50050;22/06/2024;341.016.668-81;Aluno_Tech_261;Básico;69010000;49,90
TX-50051;2024-03-22;577.278.532-08;Aluno_Tech_1518;Premium;30140071;99,90
TX-50052;24/11/2024;705.058.353-71;Aluno_Tech_2863;Premium;01001000;99,90
TX-50053;2024-04-28;908.811.729-28;Aluno_Tech_485;Anual;01001000;899,00
TX-50054;2024-03-05;23720550389;Aluno_Tech_2359;Premium;;99,90
TX-50055;2024-08-17;546.156.793-27;Aluno_Tech_260;Básico;70040010;49,90
TX-50056;29/03/2024;69292984250;Aluno_Tech_482;Básico;01001000;49,90
TX-50057;2024-02-18;67202009501;Aluno_Tech_2337;Anual;90010150;899,00
TX-50058;04/08/2024;660.487.368-43;Aluno_Tech_1363;Básico;60060440;49,90
TX-50059;2024-02-24;314.546.157-53;Aluno_Tech_2716;Básico;80010010;49,90
TX-50060;2024-10-24;092.071.152-98;Aluno_Tech_2089;Básico;90010150;49,90
TX-50061;2024-01-07;050.975.923-87;Aluno_Tech_808;Básico;69010000;49,90
TX-50062;06/03/2024;101.372.151-93;Aluno_Tech_345;Básico;30140071;49,90
TX-50063;28/03/2024;240.321.153-20;Aluno_Tech_2471;Básico;50010000;49,90
TX-50064;2024-10-20;817.882.426-45;Aluno_Tech_2667;Premium;20031050;99,90
TX-50065;2024-11-03;498.855.829-08;Aluno_Tech_1686;Básico;69010000;49,90
TX-50066;22/08/2024;290.310.287-20;Aluno_Tech_1240;Premium;80010010;99,90
TX-50067;05/05/2024;91090326734;Aluno_Tech_1697;Básico;50010000;49,90
TX-50068;02/06/2024;494.937.597-09;Aluno_Tech_333;Anual;80010010;899,00
TX-50069;2024-10-16;727.423.183-99;Aluno_Tech_1270;Premium;70040010;99,90
TX-50070;2024-12-28;454.990.453-48;Aluno_Tech_228;Anual;30140071;899,00
TX-50071;2024-11-22;061.203.471-27;Aluno_Tech_516;Premium;04538133;99,90
TX-50072;2024-01-14;857.872.558-10;Aluno_Tech_913;Premium;90010150;99,90
TX-50073;30/04/2024;863.942.012-27;Aluno_Tech_2483;Básico;01001000;49,90
TX-50074;09/08/2024;546.772.051-16;Aluno_Tech_2425;Premium;69010000;99,90
TX-50075;18/09/2024;017.316.715-20;Aluno_Tech_2605;Premium;69010000;99,90
TX-50076;09/07/2024;769.523.668-30;Aluno_Tech_1076;Básico;01001000;49,90
TX-50077;2024-07-10;559.102.451-39;Aluno_Tech_1696;;70040010;49,90
TX-50078;2024-11-21;03105183426;Aluno_Tech_21;Básico;60060440;49,90
TX-50079;2024-01-09;083.505.830-10;Aluno_Tech_404;Anual;30140071;899,00
TX-50080;2024-03-06;986.424.238-54;Aluno_Tech_2018;Básico;01001000;49,90
TX-50081;21/11/2024;841.484.601-71;Aluno_Tech_1752;Premium;80010010;99,90
TX-50082;05/12/2024;80632543175;Aluno_Tech_699;Premium;30140071;99,90
TX-50083;2024-05-28;070.562.608-37;Aluno_Tech_865;Básico;70040010;49,90
TX-50084;2024-09-19;329.668.516-27;Aluno_Tech_226;Premium;70040010;99,90
TX-50085;12/11/2024;089.523.120-40;Aluno_Tech_2163;Básico;30140071;49,90
TX-50086;23/09/2024;227.104.331-09;Aluno_Tech_1300;Básico;90010150;49,90
TX-50087;18/10/2024;49731539158;Aluno_Tech_1761;Básico;70040010;49,90
TX-50088;25/08/2024;909.248.762-71;Aluno_Tech_1663;Básico;20031050;49,90
TX-50089;2024-01-05;389.448.463-24;Aluno_Tech_532;Premium;80010010;99,90
TX-50090;2024-11-04;87829310203;Aluno_Tech_676;Básico;20031050;49,90
TX-50091;2024-03-23;931.647.725-56;Aluno_Tech_1415;Premium;50010000;99,90
TX-50092;2024-02-23;721.696.663-54;Aluno_Tech_1368;Premium;01001000;99,90
TX-50093;2024-05-11;852.973.561-72;Aluno_Tech_2737;Premium;20031050;99,90
TX-50094;26/03/2024;96883275304;Aluno_Tech_1371;Premium;70040010;99,90
TX-50095;04/12/2024;96789940545;Aluno_Tech_551;;90010150;99,90
TX-50096;25/08/2024;327.986.239-60;Aluno_Tech_1631;Premium;69010000;99,90
TX-50097;04/01/2024;430.391.171-22;Aluno_Tech_17;Premium;50010000;99,90
TX-50098;19/02/2024;507.665.344-13;Aluno_Tech_2381;Básico;30140071;49,90
TX-50099;19/05/2024;874.090.380-04;Aluno_Tech_1102;Anual;90010150;899,00
TX-50100;22/02/2024;337.563.620-27;Aluno_Tech_904;Básico;69010000;49,90
TX-50101;14/08/2024;746.698.616-11;Aluno_Tech_2120;Premium;90010150;99,90
TX-50102;2024-04-22;992.107.522-52;Aluno_Tech_561;Anual;04538133;899,00
TX-50103;15/10/2024;491.699.939-80;Aluno_Tech_2175;Anual;50010000;899,00
TX-50104;2024-07-05;073.087.156-80;Aluno_Tech_2426;Básico;69010000;49,90
TX-50105;21/05/2024;422.583.132-95;Aluno_Tech_189;Premium;20031050;99,90
TX-50106;16/09/2024;589.113.529-93;Aluno_Tech_282;Básico;60060440;49,90
TX-50107;2024-08-09;378.018.915-11;Aluno_Tech_2288;Básico;;49,90
TX-50108;13/05/2024;429.401.965-40;Aluno_Tech_44;Básico;20031050;49,90
TX-50109;16/09/2024;333.732.043-05;Aluno_Tech_1472;Básico;80010010;49,90
TX-50110;05/05/2024;574.238.856-06;Aluno_Tech_1464;Básico;70040010;49,90
TX-50111;09/07/2024;169.409.749-89;Aluno_Tech_211;Anual;01001000;899,00
TX-50112;16/09/2024;965.827.109-07;Aluno_Tech_320;Anual;30140071;899,00
TX-50113;30/05/2024;15566847382;Aluno_Tech_1745;Básico;69010000;49,90
TX-50114;12/01/2024;487.401.640-55;Aluno_Tech_36;Premium;30140071;99,90
TX-50115;25/05/2024;30307053407;Aluno_Tech_386;Básico;20031050;49,90
TX-50116;2024-11-20;661.366.280-15;Aluno_Tech_2896;Básico;01001000;49,90
TX-50117;2024-01-16;485.089.512-30;Aluno_Tech_2969;Anual;70040010;899,00
TX-50118;29/04/2024;33645257730;Aluno_Tech_466;Premium;80010010;99,90
TX-50119;2024-03-28;225.775.458-19;Aluno_Tech_1899;Premium;60060440;99,90
TX-50120;2024-07-05;44376734845;Aluno_Tech_2758;Básico;50010000;49,90
TX-50121;2024-03-03;827.080.869-52;Aluno_Tech_433;Anual;90010150;899,00
TX-50122;31/01/2024;354.503.698-75;Aluno_Tech_2460;Premium;90010150;99,90
TX-50123;25/01/2024;540.064.454-66;Aluno_Tech_2004;Básico;69010000;49,90
TX-50124;2024-03-03;32863011243;Aluno_Tech_2847;Básico;70040010;49,90
TX-50125;17/09/2024;90790306786;Aluno_Tech_241;;69010000;49,90
TX-50126;2024-09-27;51164369008;Aluno_Tech_2313;Básico;30140071;49,90
TX-50127;22/10/2024;231.981.898-70;Aluno_Tech_777;Premium;30140071;99,90
TX-50128;2024-01-31;025.213.109-64;Aluno_Tech_1082;Básico;50010000;49,90
TX-50129;2024-12-26;516.808.760-40;Aluno_Tech_93;Básico;50010000;49,90
TX-50130;24/03/2024;158.485.805-29;Aluno_Tech_2584;Básico;30140071;49,90
TX-50131;09/05/2024;428.179.340-24;Aluno_Tech_1699;Básico;30140071;49,90
TX-50132;21/01/2024;085.874.951-35;Aluno_Tech_1413;Básico;69010000;49,90
TX-50133;2024-02-06;49830748219;Aluno_Tech_1762;Básico;80010010;49,90
TX-50134;2024-07-29;20569815215;Aluno_Tech_1209;Premium;30140071;99,90
TX-50135;12/11/2024;410.095.385-27;Aluno_Tech_2503;Básico;01001000;49,90
TX-50136;20/12/2024;917.851.385-53;Aluno_Tech_1361;Premium;60060440;99,90
TX-50137;2024-02-06;426.033.620-70;Aluno_Tech_2087;Anual;69010000;899,00
TX-50138;2024-03-24;823.546.951-01;Aluno_Tech_2026;Básico;80010010;49,90
TX-50139;2024-07-06;86796325974;Aluno_Tech_1871;Básico;04538133;49,90
TX-50140;2024-05-28;843.933.324-23;Aluno_Tech_2461;Básico;04538133;49,90
TX-50141;2024-09-23;29716743394;Aluno_Tech_832;Básico;04538133;49,90
TX-50142;2024-01-03;113.062.113-87;Aluno_Tech_1509;Premium;50010000;99,90
TX-50143;01/10/2024;631.873.280-24;Aluno_Tech_1508;Premium;30140071;99,90
TX-50144;2024-02-29;17893206403;Aluno_Tech_1271;Premium;60060440;99,90
TX-50145;10/06/2024;62397265249;Aluno_Tech_692;Anual;69010000;899,00
TX-50146;2024-06-23;385.854.249-07;Aluno_Tech_625;Básico;50010000;49,90
TX-50147;2024-04-24;271.147.732-00;Aluno_Tech_752;Premium;20031050;99,90
TX-50148;2024-12-10;71886263914;Aluno_Tech_2973;Premium;90010150;99,90
TX-50149;2024-08-13;342.108.902-78;Aluno_Tech_1419;Básico;90010150;49,90
TX-50150;06/04/2024;860.849.079-03;Aluno_Tech_1715;Premium;30140071;99,90
TX-50151;2024-05-24;42457988900;Aluno_Tech_1437;Anual;50010000;899,00
TX-50152;18/11/2024;191.088.398-08;Aluno_Tech_232;Básico;;49,90
TX-50153;2024-11-28;313.503.058-04;Aluno_Tech_1078;Premium;;99,90
TX-50154;04/08/2024;492.217.048-07;Aluno_Tech_2518;Básico;60060440;49,90
TX-50155;09/01/2024;54946920862;Aluno_Tech_2851;Básico;01001000;49,90
TX-50156;2024-12-29;287.721.753-11;Aluno_Tech_424;Básico;30140071;49,90
TX-50157;14/01/2024;27120539744;Aluno_Tech_1909;Básico;60060440;49,90
TX-50158;16/03/2024;897.215.406-76;Aluno_Tech_1454;Premium;80010010;99,90
TX-50159;10/04/2024;79808932479;Aluno_Tech_172;Premium;04538133;99,90
TX-50160;07/01/2024;992.045.735-38;Aluno_Tech_2140;Básico;60060440;49,90
TX-50161;2024-04-22;620.281.237-02;Aluno_Tech_1295;Premium;04538133;99,90
TX-50162;15/11/2024;353.961.367-66;Aluno_Tech_750;Premium;30140071;99,90
TX-50163;2024-05-02;000.257.872-76;Aluno_Tech_208;Básico;60060440;49,90
TX-50164;02/07/2024;131.196.425-84;Aluno_Tech_1469;Básico;50010000;49,90
TX-50165;2024-08-12;200.053.285-35;Aluno_Tech_2235;Premium;30140071;99,90
TX-50166;2024-03-04;305.973.642-14;Aluno_Tech_1355;Básico;60060440;49,90
TX-50167;25/02/2024;639.609.626-90;Aluno_Tech_1124;Básico;;49,90
TX-50168;12/12/2024;380.671.307-36;Aluno_Tech_1940;Premium;90010150;99,90
TX-50169;21/06/2024;33795311110;Aluno_Tech_2933;Anual;50010000;899,00
TX-50170;12/12/2024;749.603.358-82;Aluno_Tech_1524;Básico;;49,90
TX-50171;2024-08-05;95527636570;Aluno_Tech_512;Premium;70040010;99,90
TX-50172;14/08/2024;21293289620;Aluno_Tech_1447;Anual;90010150;899,00
TX-50173;2024-12-10;61920259910;Aluno_Tech_2566;Básico;30140071;49,90
TX-50174;2024-10-12;18095217506;Aluno_Tech_2038;Premium;69010000;99,90
TX-50175;2024-10-14;515.879.968-71;Aluno_Tech_438;;60060440;899,00
TX-50176;23/02/2024;397.359.893-28;Aluno_Tech_443;Básico;70040010;49,90
TX-50177;2024-12-22;433.971.895-51;Aluno_Tech_864;Básico;50010000;49,90
TX-50178;03/08/2024;863.647.046-38;Aluno_Tech_2979;Premium;01001000;99,90
TX-50179;2024-04-06;073.651.189-03;Aluno_Tech_1763;Básico;30140071;49,90
TX-50180;2024-07-09;089.899.217-67;Aluno_Tech_375;Básico;30140071;49,90
TX-50181;27/01/2024;913.410.389-98;Aluno_Tech_2556;Básico;69010000;49,90
TX-50182;2024-11-04;130.722.113-02;Aluno_Tech_2341;Premium;04538133;99,90
TX-50183;25/10/2024;937.526.547-16;Aluno_Tech_277;Premium;;99,90
TX-50184;2024-08-27;497.220.429-04;Aluno_Tech_2547;Básico;20031050;49,90
TX-50185;12/01/2024;543.102.786-71;Aluno_Tech_186;Premium;70040010;99,90
TX-50186;10/11/2024;94565346931;Aluno_Tech_1609;Básico;20031050;49,90
TX-50187;2024-08-25;121.513.422-39;Aluno_Tech_804;Anual;01001000;899,00
TX-50188;15/10/2024;61880819040;Aluno_Tech_1603;Básico;60060440;49,90
TX-50189;2024-10-03;514.486.983-16;Aluno_Tech_2442;Premium;30140071;99,90
TX-50190;19/01/2024;656.733.745-18;Aluno_Tech_2799;Básico;20031050;49,90
TX-50191;21/07/2024;421.140.868-28;Aluno_Tech_1924;Básico;50010000;49,90
TX-50192;2024-03-04;169.232.737-22;Aluno_Tech_2363;Premium;20031050;99,90
TX-50193;2024-10-03;89198271849;Aluno_Tech_2521;Premium;20031050;99,90
TX-50194;2024-01-31;570.820.048-00;Aluno_Tech_1961;Anual;60060440;899,00
TX-50195;2024-03-12;38318491963;Aluno_Tech_1144;Premium;80010010;99,90
TX-50196;2024-10-12;63242415485;Aluno_Tech_310;Básico;50010000;49,90
TX-50197;2024-03-23;099.613.273-22;Aluno_Tech_1340;Premium;60060440;99,90
TX-50198;08/01/2024;09624406391;Aluno_Tech_1356;Premium;20031050;99,90
TX-50199;2024-06-02;486.874.034-29;Aluno_Tech_178;Premium;20031050;99,90
TX-50200;23/02/2024;730.577.719-63;Aluno_Tech_2875;Anual;70040010;899,00
TX-50201;2024-02-10;64989319575;Aluno_Tech_702;Básico;69010000;49,90
TX-50202;26/05/2024;393.866.133-01;Aluno_Tech_948;Básico;30140071;49,90
TX-50203;01/02/2024;82851816187;Aluno_Tech_2376;Anual;80010010;899,00
TX-50204;04/08/2024;045.024.373-79;Aluno_Tech_2308;Anual;01001000;899,00
TX-50205;2024-11-24;332.973.239-30;Aluno_Tech_2614;Básico;04538133;49,90
TX-50206;21/01/2024;990.114.003-05;Aluno_Tech_2400;Básico;90010150;49,90
TX-50207;2024-06-14;948.018.644-65;Aluno_Tech_1959;Básico;69010000;49,90
TX-50208;2024-11-30;047.614.378-04;Aluno_Tech_2506;Básico;01001000;49,90
TX-50209;19/02/2024;774.174.304-06;Aluno_Tech_2191;Premium;01001000;99,90
TX-50210;2024-09-04;21020275898;Aluno_Tech_325;Premium;01001000;99,90
TX-50211;22/04/2024;27371586999;Aluno_Tech_852;Básico;30140071;49,90
TX-50212;29/06/2024;05525782820;Aluno_Tech_715;Premium;50010000;99,90
TX-50213;2024-11-29;510.979.215-14;Aluno_Tech_1301;Premium;70040010;99,90
TX-50214;03/07/2024;576.024.375-60;Aluno_Tech_829;Premium;20031050;99,90
TX-50215;28/01/2024;084.245.607-44;Aluno_Tech_1349;Básico;20031050;49,90
TX-50216;31/12/2024;03324260507;Aluno_Tech_1625;;50010000;49,90
TX-50217;22/09/2024;230.600.230-42;Aluno_Tech_2725;Básico;04538133;49,90
TX-50218;2024-09-23;472.642.612-55;Aluno_Tech_2000;Premium;70040010;99,90
TX-50219;30/06/2024;615.171.827-51;Aluno_Tech_745;Premium;90010150;99,90
TX-50220;18/12/2024;237.100.687-46;Aluno_Tech_1374;Básico;80010010;49,90
TX-50221;08/09/2024;660.100.231-30;Aluno_Tech_1065;Básico;60060440;49,90
TX-50222;02/12/2024;533.905.504-37;Aluno_Tech_1115;Básico;69010000;49,90
TX-50223;2024-09-14;009.004.365-06;Aluno_Tech_1784;Anual;50010000;899,00
TX-50224;2024-09-18;188.822.378-26;Aluno_Tech_2638;Básico;60060440;49,90
TX-50225;15/09/2024;994.973.203-45;Aluno_Tech_1305;Básico;69010000;49,90
TX-50226;2024-01-04;21410707164;Aluno_Tech_2968;Básico;50010000;49,90
TX-50227;20/08/2024;097.052.774-86;Aluno_Tech_1199;Premium;90010150;99,90
TX-50228;2024-06-18;19292752421;Aluno_Tech_653;Básico;90010150;49,90
TX-50229;2024-01-27;39690784404;Aluno_Tech_197;Básico;20031050;49,90
TX-50230;11/01/2024;18244935332;Aluno_Tech_35;Básico;60060440;49,90
TX-50231;16/12/2024;883.920.530-60;Aluno_Tech_497;Básico;80010010;49,90
TX-50232;2024-04-15;93862044874;Aluno_Tech_1319;Básico;20031050;49,90
TX-50233;2024-10-19;425.241.056-87;Aluno_Tech_326;Básico;01001000;49,90
TX-50234;2024-06-23;419.754.661-01;Aluno_Tech_1197;Premium;04538133;99,90
TX-50235;11/01/2024;126.944.869-24;Aluno_Tech_490;Anual;;899,00
TX-50236;01/07/2024;504.554.781-04;Aluno_Tech_722;Básico;04538133;49,90
TX-50237;23/02/2024;380.671.307-36;Aluno_Tech_1940;Anual;50010000;899,00
TX-50238;31/05/2024;412.301.604-93;Aluno_Tech_2397;Premium;70040010;99,90
TX-50239;23/11/2024;238.687.906-24;Aluno_Tech_2433;Básico;50010000;49,90
TX-50240;2024-02-04;699.733.549-74;Aluno_Tech_638;;01001000;49,90
TX-50241;2024-09-04;168.457.759-40;Aluno_Tech_306;Premium;04538133;99,90
TX-50242;2024-05-12;236.533.774-04;Aluno_Tech_1746;Básico;70040010;49,90
TX-50243;07/05/2024;872.774.348-97;Aluno_Tech_55;Premium;90010150;99,90
TX-50244;22/02/2024;356.690.551-87;Aluno_Tech_980;Premium;30140071;99,90
TX-50245;03/02/2024;475.833.920-12;Aluno_Tech_1553;Premium;60060440;99,90
TX-50246;2024-12-19;47228200586;Aluno_Tech_525;Básico;01001000;49,90
TX-50247;2024-10-16;709.872.649-40;Aluno_Tech_2333;Básico;70040010;49,90
TX-50248;2024-04-28;314.913.577-03;Aluno_Tech_464;Básico;04538133;49,90
TX-50249;2024-07-23;16376182046;Aluno_Tech_1064;Básico;80010010;49,90
TX-50250;2024-08-16;59503428106;Aluno_Tech_1089;Básico;90010150;49,90
TX-50251;14/09/2024;642.316.544-09;Aluno_Tech_2494;Básico;69010000;49,90
TX-50252;30/11/2024;376.452.088-48;Aluno_Tech_539;Premium;90010150;99,90
TX-50253;24/01/2024;31284033333;Aluno_Tech_1390;Básico;04538133;49,90
TX-50254;15/03/2024;493.153.983-19;Aluno_Tech_2553;Premium;04538133;99,90
TX-50255;2024-08-05;52818325307;Aluno_Tech_704;Básico;80010010;49,90
TX-50256;17/03/2024;58969335331;Aluno_Tech_2310;Premium;20031050;99,90
TX-50257;01/04/2024;669.432.029-95;Aluno_Tech_1054;Básico;69010000;49,90
TX-50258;2024-02-07;145.561.681-80;Aluno_Tech_606;Básico;80010010;49,90
TX-50259;2024-11-09;626.060.290-11;Aluno_Tech_842;Básico;01001000;49,90
TX-50260;2024-11-23;136.817.203-20;Aluno_Tech_2136;Básico;20031050;49,90
TX-50261;16/10/2024;22923106784;Aluno_Tech_1556;Básico;90010150;49,90
TX-50262;04/11/2024;025.039.261-50;Aluno_Tech_264;Básico;20031050;49,90
TX-50263;18/10/2024;158.904.290-51;Aluno_Tech_730;Básico;70040010;49,90
TX-50264;2024-12-22;724.010.783-39;Aluno_Tech_1218;Básico;90010150;49,90
TX-50265;02/11/2024;974.034.471-23;Aluno_Tech_85;Premium;;99,90
TX-50266;31/12/2024;969.029.593-40;Aluno_Tech_360;Anual;30140071;899,00
TX-50267;2024-10-16;662.080.820-48;Aluno_Tech_2536;Básico;50010000;49,90
TX-50268;2024-12-10;045.990.802-25;Aluno_Tech_1575;Básico;60060440;49,90
TX-50269;31/01/2024;21021798266;Aluno_Tech_1851;Premium;04538133;99,90
TX-50270;16/09/2024;76263934301;Aluno_Tech_793;Básico;80010010;49,90
TX-50271;10/10/2024;835.129.592-29;Aluno_Tech_1489;Premium;01001000;99,90
TX-50272;12/05/2024;191.826.199-72;Aluno_Tech_337;Básico;80010010;49,90
TX-50273;24/01/2024;19292752421;Aluno_Tech_653;Básico;50010000;49,90
TX-50274;2024-03-04;843.845.881-51;Aluno_Tech_1226;Básico;70040010;49,90
TX-50275;04/10/2024;602.293.946-12;Aluno_Tech_1503;Básico;04538133;49,90
TX-50276;25/05/2024;747.226.408-31;Aluno_Tech_1367;Premium;01001000;99,90
TX-50277;10/08/2024;099.069.319-81;Aluno_Tech_2942;Premium;69010000;99,90
TX-50278;2024-09-05;88888067094;Aluno_Tech_174;Anual;70040010;899,00
TX-50279;2024-09-13;68784991275;Aluno_Tech_206;Básico;69010000;49,90
TX-50280;24/06/2024;44568446716;Aluno_Tech_2690;Premium;69010000;99,90
TX-50281;2024-12-05;715.182.037-28;Aluno_Tech_155;Básico;30140071;49,90
TX-50282;21/10/2024;750.827.681-74;Aluno_Tech_1898;Básico;70040010;49,90
TX-50283;29/11/2024;62483550533;Aluno_Tech_1786;Básico;50010000;49,90
TX-50284;17/11/2024;202.590.947-06;Aluno_Tech_446;Básico;01001000;49,90
TX-50285;25/06/2024;93968562151;Aluno_Tech_265;Básico;04538133;49,90
TX-50286;2024-01-12;171.620.429-10;Aluno_Tech_2441;Premium;69010000;99,90
TX-50287;2024-12-10;15274205402;Aluno_Tech_225;Anual;70040010;899,00
TX-50288;11/03/2024;945.491.801-02;Aluno_Tech_817;Básico;70040010;49,90
TX-50289;12/08/2024;532.316.778-58;Aluno_Tech_2820;Premium;70040010;99,90
TX-50290;28/01/2024;29573783100;Aluno_Tech_2692;Básico;69010000;49,90
TX-50291;10/08/2024;133.760.523-95;Aluno_Tech_1975;Básico;;49,90
TX-50292;23/08/2024;814.134.476-51;Aluno_Tech_2700;Básico;50010000;49,90
TX-50293;2024-07-07;26425064285;Aluno_Tech_1519;Básico;90010150;49,90
TX-50294;07/04/2024;945.198.327-99;Aluno_Tech_135;Básico;;49,90
TX-50295;2024-02-01;861.015.819-50;Aluno_Tech_271;Premium;69010000;99,90
TX-50296;2024-04-05;537.657.692-23;Aluno_Tech_1588;Básico;20031050;49,90
TX-50297;2024-06-24;515.879.968-71;Aluno_Tech_438;Básico;80010010;49,90
TX-50298;2024-09-07;271.175.957-10;Aluno_Tech_1685;Anual;90010150;899,00
TX-50299;16/01/2024;48358626789;Aluno_Tech_2923;Premium;80010010;99,90
TX-50300;03/09/2024;899.936.079-24;Aluno_Tech_1710;Premium;80010010;99,90
TX-50301;03/12/2024;09536773465;Aluno_Tech_2736;Básico;70040010;49,90
TX-50302;2024-05-14;953.120.409-83;Aluno_Tech_2718;Básico;70040010;49,90
TX-50303;2024-12-19;131.251.293-89;Aluno_Tech_1542;Básico;;49,90
TX-50304;01/07/2024;629.620.805-70;Aluno_Tech_2462;Premium;30140071;99,90
TX-50305;2024-01-31;452.315.828-24;Aluno_Tech_2809;Premium;04538133;99,90
TX-50306;2024-12-01;105.336.514-41;Aluno_Tech_1591;Premium;50010000;99,90
TX-50307;18/12/2024;832.303.589-02;Aluno_Tech_1445;Premium;69010000;99,90
TX-50308;2024-09-08;025.239.412-79;Aluno_Tech_2346;Básico;50010000;49,90
TX-50309;31/10/2024;450.573.036-00;Aluno_Tech_1672;Básico;80010010;49,90
TX-50310;2024-10-10;13394394502;Aluno_Tech_1586;Básico;20031050;49,90
TX-50311;14/08/2024;055.295.806-96;Aluno_Tech_1317;Básico;30140071;49,90
TX-50312;2024-02-05;339.452.288-83;Aluno_Tech_437;Básico;20031050;49,90
TX-50313;2024-04-20;549.305.966-53;Aluno_Tech_1232;Básico;70040010;49,90
TX-50314;2024-12-16;37631774935;Aluno_Tech_2465;Premium;50010000;99,90
TX-50315;12/02/2024;074.039.251-49;Aluno_Tech_2208;Anual;60060440;899,00
TX-50316;2024-05-28;833.367.960-91;Aluno_Tech_2849;Anual;20031050;899,00
TX-50317;23/11/2024;14639476230;Aluno_Tech_2751;Básico;04538133;49,90
